prob,idle,travel,feasible,allocation,clusters,permutation,time
0.6342381093023137,0.6342381093023137,6.0,80.0,1.0,Allocation17,3.0,9,17157.0
0.5193742856752459,0.5193742856752459,39.0,117.0,1.0,Allocation5,2.0,5,34768.0
0.701569245565222,0.701569245565222,16.0,171.0,1.0,Allocation4,2.0,7,73959.0
0.701569245565222,0.701569245565222,17.0,150.0,1.0,Allocation4,2.0,9,80803.0
0.709930882241588,0.709930882241588,9.0,137.0,1.0,Allocation24,2.0,2,87650.0
0.6342381093023138,0.6342381093023138,5.0,84.0,1.0,Allocation17,3.0,5,93731.0
0.6534887351285079,0.6534887351285079,37.0,156.0,1.0,Allocation1,2.0,6,99146.0
0.6977174457043916,0.6977174457043916,2.0,101.0,1.0,Allocation25,2.0,6,112666.0
0.5328407851588999,0.5328407851588999,31.0,126.0,1.0,Allocation16,3.0,5,116681.0
0.6977174457043916,0.6977174457043916,2.0,127.0,1.0,Allocation29,2.0,6,118874.0
0.41844288566704746,0.41844288566704746,28.0,137.0,1.0,Allocation11,2.0,1,125296.0
0.6977174457043916,0.6977174457043916,2.0,84.0,1.0,Allocation21,2.0,1,128630.0
0.41844288566704746,0.41844288566704746,20.999999999899998,145.0,1.0,Allocation11,2.0,7,132605.0
0.5976619202325453,0.5976619202325453,41.0,151.0,1.0,Allocation8,2.0,6,137938.0
0.5328407851588999,0.5328407851588999,31.0,140.0,1.0,Allocation16,3.0,3,156149.0
0.6534887351285079,0.6534887351285079,36.0,152.0,1.0,Allocation1,2.0,0,161583.0
0.6388987871339187,0.6388987871339187,16.0,121.0,1.0,Allocation13,3.0,0,185897.0
0.6977174457043916,0.6977174457043916,2.0,114.0,1.0,Allocation25,2.0,8,189933.0
0.6849897592077344,0.6849897592077344,13.0,86.0,1.0,Allocation30,2.0,3,197416.0
0.4713117142427704,0.4713117142427704,29.0,132.0,1.0,Allocation9,2.0,8,207722.0
0.6342381093023138,0.6342381093023138,7.0,81.0,1.0,Allocation17,3.0,6,243366.0
0.5976619202325454,0.5976619202325454,28.0,144.0,1.0,Allocation8,2.0,2,250100.0
0.709930882241588,0.709930882241588,17.0,114.0,1.0,Allocation22,2.0,6,282403.0
0.4713117142427704,0.4713117142427704,22.0,135.0,1.0,Allocation9,2.0,1,289515.0
0.709930882241588,0.709930882241588,1.0,88.0,1.0,Allocation12,3.0,8,321687.0
