,allocid,num_cluster,uniqueAlloc,reference
0,Allocation1,0,"{'r1_at4_notify_3', 'r2_at2_floor_7', 'r1_at4_notify_9', 'r1_at4_notify_0', 'r1_at3_sanit_5', 'r2_at2_floor_10', 'r1_at3_sanit_2', 'r1_at3_sanit_11', 'r2_at2_floor_4', 'r1_at4_notify_6', 'r1_at2_floor_1', 'r2_at3_sanit_8'}",
0,Allocation10,0,"{'r2_at2_floor_1', 'r2_at3_sanit_2', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r2_at4_notify_3', 'r2_at4_notify_0', 'r1_at4_notify_9', 'r1_at3_sanit_5', 'r1_at2_floor_7', 'r1_at3_sanit_11', 'r1_at4_notify_6', 'r1_at2_floor_10'}",
0,Allocation11,0,"{'r2_at2_floor_1', 'r2_at3_sanit_2', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r2_at4_notify_3', 'r1_at4_notify_9', 'r1_at3_sanit_5', 'r1_at4_notify_0', 'r1_at2_floor_7', 'r1_at3_sanit_11', 'r1_at4_notify_6', 'r1_at2_floor_10'}",
0,Allocation12,0,"{'r2_at2_floor_1', 'r2_at4_notify_6', 'r2_at3_sanit_2', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r2_at4_notify_3', 'r2_at4_notify_0', 'r1_at4_notify_9', 'r1_at3_sanit_5', 'r1_at2_floor_7', 'r1_at3_sanit_11', 'r1_at2_floor_10'}",
0,Allocation13,0,"{'r1_at4_notify_3', 'r2_at2_floor_1', 'r2_at4_notify_6', 'r2_at3_sanit_2', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at4_notify_9', 'r1_at3_sanit_5', 'r1_at4_notify_0', 'r1_at2_floor_7', 'r1_at3_sanit_11', 'r1_at2_floor_10'}",
0,Allocation14,0,"{'r1_at4_notify_3', 'r2_at2_floor_1', 'r2_at4_notify_6', 'r2_at3_sanit_2', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r2_at4_notify_0', 'r1_at4_notify_9', 'r1_at3_sanit_5', 'r1_at2_floor_7', 'r1_at3_sanit_11', 'r1_at2_floor_10'}",
0,Allocation15,0,"{'r2_at2_floor_1', 'r2_at4_notify_6', 'r2_at3_sanit_2', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r2_at4_notify_3', 'r1_at4_notify_9', 'r1_at3_sanit_5', 'r1_at4_notify_0', 'r1_at2_floor_7', 'r1_at3_sanit_11', 'r1_at2_floor_10'}",
0,Allocation16,0,"{'r2_at2_floor_1', 'r2_at4_notify_6', 'r2_at3_sanit_2', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r2_at4_notify_3', 'r2_at4_notify_9', 'r1_at3_sanit_5', 'r1_at4_notify_0', 'r1_at2_floor_7', 'r1_at3_sanit_11', 'r1_at2_floor_10'}",
0,Allocation17,0,"{'r1_at4_notify_3', 'r2_at2_floor_1', 'r2_at3_sanit_2', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r2_at4_notify_9', 'r1_at3_sanit_5', 'r1_at4_notify_0', 'r1_at2_floor_7', 'r1_at3_sanit_11', 'r1_at4_notify_6', 'r1_at2_floor_10'}",
0,Allocation18,0,"{'r1_at4_notify_3', 'r2_at2_floor_1', 'r2_at3_sanit_2', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r2_at4_notify_0', 'r2_at4_notify_9', 'r1_at3_sanit_5', 'r1_at2_floor_7', 'r1_at3_sanit_11', 'r1_at4_notify_6', 'r1_at2_floor_10'}",
