allocation,,num_perm,,robot,,permutation
Allocation1,,0,,r1,,"['r1_at4_notify_6', 'r1_at4_notify_3', 'r1_at3_sanit_5', 'r1_at4_notify_0', 'r1_at4_notify_9', 'r1_at2_floor_1', 'r1_at3_sanit_2', 'r1_at3_sanit_11']"
Allocation1,,0,,r2,,"['r2_at3_sanit_8', 'r2_at2_floor_7', 'r2_at2_floor_4', 'r2_at2_floor_10']"
Allocation1,,1,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at4_notify_6', 'r1_at4_notify_3', 'r1_at3_sanit_5', 'r1_at4_notify_0', 'r1_at3_sanit_2', 'r1_at2_floor_1']"
Allocation1,,1,,r2,,"['r2_at2_floor_10', 'r2_at2_floor_4', 'r2_at2_floor_7', 'r2_at3_sanit_8']"
Allocation1,,2,,r1,,"['r1_at4_notify_3', 'r1_at4_notify_0', 'r1_at4_notify_6', 'r1_at4_notify_9', 'r1_at3_sanit_2', 'r1_at3_sanit_5', 'r1_at3_sanit_11', 'r1_at2_floor_1']"
Allocation1,,2,,r2,,"['r2_at2_floor_7', 'r2_at2_floor_10', 'r2_at3_sanit_8', 'r2_at2_floor_4']"
Allocation1,,3,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_3', 'r1_at4_notify_6', 'r1_at3_sanit_11', 'r1_at4_notify_0', 'r1_at3_sanit_5', 'r1_at2_floor_1', 'r1_at3_sanit_2']"
Allocation1,,3,,r2,,"['r2_at2_floor_7', 'r2_at2_floor_10', 'r2_at2_floor_4', 'r2_at3_sanit_8']"
Allocation1,,4,,r1,,"['r1_at4_notify_0', 'r1_at3_sanit_2', 'r1_at2_floor_1', 'r1_at4_notify_9', 'r1_at4_notify_3', 'r1_at3_sanit_11', 'r1_at4_notify_6', 'r1_at3_sanit_5']"
Allocation1,,4,,r2,,"['r2_at2_floor_10', 'r2_at3_sanit_8', 'r2_at2_floor_7', 'r2_at2_floor_4']"
Allocation1,,5,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at4_notify_3', 'r1_at4_notify_0', 'r1_at4_notify_6', 'r1_at3_sanit_5', 'r1_at3_sanit_2', 'r1_at2_floor_1']"
Allocation1,,5,,r2,,"['r2_at2_floor_10', 'r2_at2_floor_7', 'r2_at3_sanit_8', 'r2_at2_floor_4']"
Allocation1,,6,,r1,,"['r1_at4_notify_6', 'r1_at4_notify_3', 'r1_at4_notify_0', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at3_sanit_2', 'r1_at2_floor_1', 'r1_at3_sanit_5']"
Allocation1,,6,,r2,,"['r2_at2_floor_4', 'r2_at2_floor_7', 'r2_at3_sanit_8', 'r2_at2_floor_10']"
Allocation1,,7,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_6', 'r1_at4_notify_0', 'r1_at4_notify_3', 'r1_at3_sanit_5', 'r1_at3_sanit_11', 'r1_at3_sanit_2', 'r1_at2_floor_1']"
Allocation1,,7,,r2,,"['r2_at2_floor_7', 'r2_at3_sanit_8', 'r2_at2_floor_10', 'r2_at2_floor_4']"
Allocation1,,8,,r1,,"['r1_at4_notify_0', 'r1_at4_notify_6', 'r1_at3_sanit_2', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at4_notify_3', 'r1_at2_floor_1', 'r1_at3_sanit_5']"
Allocation1,,8,,r2,,"['r2_at3_sanit_8', 'r2_at2_floor_7', 'r2_at2_floor_10', 'r2_at2_floor_4']"
Allocation1,,9,,r1,,"['r1_at4_notify_0', 'r1_at4_notify_3', 'r1_at3_sanit_2', 'r1_at2_floor_1', 'r1_at4_notify_6', 'r1_at4_notify_9', 'r1_at3_sanit_5', 'r1_at3_sanit_11']"
Allocation1,,9,,r2,,"['r2_at2_floor_4', 'r2_at2_floor_7', 'r2_at3_sanit_8', 'r2_at2_floor_10']"
Allocation1,,10,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at4_notify_3', 'r1_at4_notify_0', 'r1_at4_notify_6', 'r1_at2_floor_1', 'r1_at3_sanit_2', 'r1_at3_sanit_5']"
Allocation1,,10,,r2,,"['r2_at2_floor_10', 'r2_at2_floor_7', 'r2_at3_sanit_8', 'r2_at2_floor_4']"
Allocation1,,11,,r1,,"['r1_at4_notify_3', 'r1_at3_sanit_5', 'r1_at4_notify_9', 'r1_at4_notify_6', 'r1_at4_notify_0', 'r1_at2_floor_1', 'r1_at3_sanit_11', 'r1_at3_sanit_2']"
Allocation1,,11,,r2,,"['r2_at2_floor_4', 'r2_at3_sanit_8', 'r2_at2_floor_10', 'r2_at2_floor_7']"
Allocation1,,12,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_6', 'r1_at4_notify_3', 'r1_at4_notify_0', 'r1_at3_sanit_11', 'r1_at3_sanit_5', 'r1_at2_floor_1', 'r1_at3_sanit_2']"
Allocation1,,12,,r2,,"['r2_at2_floor_10', 'r2_at2_floor_4', 'r2_at2_floor_7', 'r2_at3_sanit_8']"
Allocation1,,13,,r1,,"['r1_at4_notify_0', 'r1_at4_notify_9', 'r1_at4_notify_3', 'r1_at3_sanit_2', 'r1_at2_floor_1', 'r1_at3_sanit_5', 'r1_at4_notify_6', 'r1_at3_sanit_11']"
Allocation1,,13,,r2,,"['r2_at2_floor_10', 'r2_at2_floor_4', 'r2_at3_sanit_8', 'r2_at2_floor_7']"
Allocation1,,14,,r1,,"['r1_at4_notify_3', 'r1_at4_notify_6', 'r1_at4_notify_0', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at3_sanit_5', 'r1_at2_floor_1', 'r1_at3_sanit_2']"
Allocation1,,14,,r2,,"['r2_at2_floor_4', 'r2_at3_sanit_8', 'r2_at2_floor_10', 'r2_at2_floor_7']"
