allocation,,num_perm,,robot,,permutation
Allocation1,,15,,r1,,"['r1_at4_notify_0', 'r1_at2_floor_1', 'r1_at4_notify_9', 'r1_at4_notify_3', 'r1_at3_sanit_5', 'r1_at3_sanit_11', 'r1_at4_notify_6', 'r1_at3_sanit_2']"
Allocation1,,15,,r2,,"['r2_at2_floor_10', 'r2_at2_floor_7', 'r2_at3_sanit_8', 'r2_at2_floor_4']"
Allocation1,,16,,r1,,"['r1_at4_notify_6', 'r1_at4_notify_3', 'r1_at4_notify_0', 'r1_at4_notify_9', 'r1_at3_sanit_5', 'r1_at2_floor_1', 'r1_at3_sanit_11', 'r1_at3_sanit_2']"
Allocation1,,16,,r2,,"['r2_at2_floor_7', 'r2_at2_floor_4', 'r2_at3_sanit_8', 'r2_at2_floor_10']"
Allocation1,,17,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at4_notify_6', 'r1_at4_notify_3', 'r1_at4_notify_0', 'r1_at2_floor_1', 'r1_at3_sanit_5', 'r1_at3_sanit_2']"
Allocation1,,17,,r2,,"['r2_at2_floor_10', 'r2_at2_floor_4', 'r2_at2_floor_7', 'r2_at3_sanit_8']"
Allocation1,,18,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_6', 'r1_at4_notify_0', 'r1_at4_notify_3', 'r1_at3_sanit_2', 'r1_at3_sanit_11', 'r1_at2_floor_1', 'r1_at3_sanit_5']"
Allocation1,,18,,r2,,"['r2_at3_sanit_8', 'r2_at2_floor_7', 'r2_at2_floor_10', 'r2_at2_floor_4']"
Allocation1,,19,,r1,,"['r1_at4_notify_0', 'r1_at4_notify_3', 'r1_at4_notify_6', 'r1_at4_notify_9', 'r1_at3_sanit_5', 'r1_at3_sanit_2', 'r1_at2_floor_1', 'r1_at3_sanit_11']"
Allocation1,,19,,r2,,"['r2_at3_sanit_8', 'r2_at2_floor_10', 'r2_at2_floor_7', 'r2_at2_floor_4']"
Allocation10,,0,,r1,,"['r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at4_notify_6', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at3_sanit_11', 'r1_at2_floor_7']"
Allocation10,,0,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation10,,1,,r1,,"['r1_at4_notify_6', 'r1_at2_floor_7', 'r1_at2_floor_4', 'r1_at3_sanit_8', 'r1_at3_sanit_5', 'r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_11']"
Allocation10,,1,,r2,,"['r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2', 'r2_at4_notify_3']"
Allocation10,,2,,r1,,"['r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at4_notify_6', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at3_sanit_8']"
Allocation10,,2,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation10,,3,,r1,,"['r1_at4_notify_6', 'r1_at3_sanit_8', 'r1_at2_floor_7', 'r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_10']"
Allocation10,,3,,r2,,"['r2_at4_notify_0', 'r2_at3_sanit_2', 'r2_at4_notify_3', 'r2_at2_floor_1']"
Allocation10,,4,,r1,,"['r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at4_notify_6', 'r1_at3_sanit_8', 'r1_at2_floor_7']"
Allocation10,,4,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation10,,5,,r1,,"['r1_at4_notify_6', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at2_floor_7', 'r1_at3_sanit_5', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_10']"
Allocation10,,5,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation10,,6,,r1,,"['r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at4_notify_6', 'r1_at3_sanit_11', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at2_floor_7']"
Allocation10,,6,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation10,,7,,r1,,"['r1_at3_sanit_5', 'r1_at4_notify_9', 'r1_at2_floor_4', 'r1_at4_notify_6', 'r1_at3_sanit_8', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at2_floor_10']"
Allocation10,,7,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation10,,8,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_5', 'r1_at4_notify_6', 'r1_at2_floor_4', 'r1_at2_floor_7', 'r1_at2_floor_10', 'r1_at3_sanit_8', 'r1_at3_sanit_11']"
Allocation10,,8,,r2,,"['r2_at4_notify_0', 'r2_at4_notify_3', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation10,,9,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at3_sanit_5', 'r1_at4_notify_6', 'r1_at2_floor_4', 'r1_at2_floor_7', 'r1_at2_floor_10', 'r1_at3_sanit_8']"
Allocation10,,9,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation10,,10,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_6', 'r1_at3_sanit_8', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at2_floor_10', 'r1_at2_floor_4', 'r1_at3_sanit_5']"
Allocation10,,10,,r2,,"['r2_at4_notify_0', 'r2_at4_notify_3', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation10,,11,,r1,,"['r1_at4_notify_6', 'r1_at2_floor_4', 'r1_at4_notify_9', 'r1_at3_sanit_8', 'r1_at2_floor_7', 'r1_at3_sanit_5', 'r1_at3_sanit_11', 'r1_at2_floor_10']"
Allocation10,,11,,r2,,"['r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at4_notify_3', 'r2_at3_sanit_2']"
Allocation10,,12,,r1,,"['r1_at4_notify_6', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at2_floor_10']"
Allocation10,,12,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation10,,13,,r1,,"['r1_at4_notify_6', 'r1_at2_floor_7', 'r1_at4_notify_9', 'r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at3_sanit_8']"
Allocation10,,13,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation10,,14,,r1,,"['r1_at4_notify_6', 'r1_at4_notify_9', 'r1_at2_floor_7', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at3_sanit_11', 'r1_at3_sanit_5', 'r1_at2_floor_10']"
Allocation10,,14,,r2,,"['r2_at4_notify_0', 'r2_at4_notify_3', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation10,,15,,r1,,"['r1_at4_notify_9', 'r1_at2_floor_4', 'r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at3_sanit_5', 'r1_at4_notify_6', 'r1_at3_sanit_8', 'r1_at2_floor_7']"
Allocation10,,15,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation10,,16,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_6', 'r1_at3_sanit_8', 'r1_at2_floor_7', 'r1_at2_floor_10', 'r1_at2_floor_4', 'r1_at3_sanit_11', 'r1_at3_sanit_5']"
Allocation10,,16,,r2,,"['r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2', 'r2_at4_notify_3']"
Allocation10,,17,,r1,,"['r1_at4_notify_6', 'r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_8', 'r1_at3_sanit_5', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at2_floor_4']"
Allocation10,,17,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation10,,18,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_6', 'r1_at2_floor_10', 'r1_at2_floor_4', 'r1_at3_sanit_11', 'r1_at3_sanit_8', 'r1_at3_sanit_5', 'r1_at2_floor_7']"
Allocation10,,18,,r2,,"['r2_at4_notify_0', 'r2_at4_notify_3', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation10,,19,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_6', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at2_floor_7', 'r1_at3_sanit_8']"
Allocation10,,19,,r2,,"['r2_at4_notify_0', 'r2_at3_sanit_2', 'r2_at4_notify_3', 'r2_at2_floor_1']"
Allocation11,,0,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_0', 'r1_at3_sanit_11', 'r1_at4_notify_6', 'r1_at2_floor_10', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at2_floor_7']"
Allocation11,,0,,r2,,"['r2_at4_notify_3', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation11,,1,,r1,,"['r1_at4_notify_0', 'r1_at4_notify_6', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at2_floor_4', 'r1_at3_sanit_8', 'r1_at2_floor_7', 'r1_at3_sanit_5']"
Allocation11,,1,,r2,,"['r2_at4_notify_3', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation11,,2,,r1,,"['r1_at4_notify_6', 'r1_at4_notify_9', 'r1_at4_notify_0', 'r1_at2_floor_7', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at3_sanit_11', 'r1_at2_floor_10']"
Allocation11,,2,,r2,,"['r2_at4_notify_3', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation11,,3,,r1,,"['r1_at4_notify_6', 'r1_at3_sanit_8', 'r1_at4_notify_9', 'r1_at4_notify_0', 'r1_at2_floor_7', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at2_floor_10', 'r1_at3_sanit_11']"
Allocation11,,3,,r2,,"['r2_at4_notify_3', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation11,,4,,r1,,"['r1_at4_notify_0', 'r1_at4_notify_6', 'r1_at3_sanit_8', 'r1_at2_floor_7', 'r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_10']"
Allocation11,,4,,r2,,"['r2_at4_notify_3', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation11,,5,,r1,,"['r1_at4_notify_0', 'r1_at3_sanit_5', 'r1_at4_notify_6', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at2_floor_7', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_10']"
Allocation11,,5,,r2,,"['r2_at4_notify_3', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation11,,6,,r1,,"['r1_at4_notify_0', 'r1_at4_notify_6', 'r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at3_sanit_8', 'r1_at2_floor_7', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_10']"
Allocation11,,6,,r2,,"['r2_at4_notify_3', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation11,,7,,r1,,"['r1_at4_notify_0', 'r1_at4_notify_9', 'r1_at4_notify_6', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at3_sanit_8', 'r1_at3_sanit_5', 'r1_at2_floor_4']"
Allocation11,,7,,r2,,"['r2_at4_notify_3', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation11,,8,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_0', 'r1_at4_notify_6', 'r1_at2_floor_7', 'r1_at3_sanit_11', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at2_floor_10']"
Allocation11,,8,,r2,,"['r2_at4_notify_3', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation11,,9,,r1,,"['r1_at4_notify_0', 'r1_at4_notify_6', 'r1_at3_sanit_8', 'r1_at2_floor_7', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at2_floor_10']"
Allocation11,,9,,r2,,"['r2_at2_floor_1', 'r2_at3_sanit_2', 'r2_at4_notify_3']"
Allocation11,,10,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_0', 'r1_at4_notify_6', 'r1_at2_floor_10', 'r1_at2_floor_4', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at3_sanit_5', 'r1_at3_sanit_8']"
Allocation11,,10,,r2,,"['r2_at2_floor_1', 'r2_at4_notify_3', 'r2_at3_sanit_2']"
Allocation11,,11,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_6', 'r1_at3_sanit_11', 'r1_at4_notify_0', 'r1_at2_floor_10', 'r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at3_sanit_8', 'r1_at2_floor_7']"
Allocation11,,11,,r2,,"['r2_at4_notify_3', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation11,,12,,r1,,"['r1_at4_notify_0', 'r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at4_notify_6', 'r1_at2_floor_7', 'r1_at4_notify_9', 'r1_at3_sanit_8', 'r1_at3_sanit_11', 'r1_at2_floor_10']"
Allocation11,,12,,r2,,"['r2_at2_floor_1', 'r2_at4_notify_3', 'r2_at3_sanit_2']"
Allocation11,,13,,r1,,"['r1_at4_notify_6', 'r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at4_notify_0', 'r1_at2_floor_10', 'r1_at3_sanit_8', 'r1_at2_floor_7']"
Allocation11,,13,,r2,,"['r2_at4_notify_3', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation11,,14,,r1,,"['r1_at4_notify_6', 'r1_at4_notify_9', 'r1_at2_floor_7', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at4_notify_0', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at2_floor_4']"
Allocation11,,14,,r2,,"['r2_at4_notify_3', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation11,,15,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_6', 'r1_at4_notify_0', 'r1_at2_floor_7', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at2_floor_10', 'r1_at2_floor_4', 'r1_at3_sanit_11']"
Allocation11,,15,,r2,,"['r2_at4_notify_3', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation11,,16,,r1,,"['r1_at4_notify_6', 'r1_at4_notify_9', 'r1_at4_notify_0', 'r1_at2_floor_10', 'r1_at2_floor_7', 'r1_at3_sanit_11', 'r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at3_sanit_8']"
Allocation11,,16,,r2,,"['r2_at4_notify_3', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation11,,17,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_0', 'r1_at3_sanit_11', 'r1_at2_floor_4', 'r1_at4_notify_6', 'r1_at3_sanit_5', 'r1_at2_floor_10', 'r1_at3_sanit_8', 'r1_at2_floor_7']"
Allocation11,,17,,r2,,"['r2_at4_notify_3', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation11,,18,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_6', 'r1_at3_sanit_11', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at2_floor_10', 'r1_at4_notify_0', 'r1_at2_floor_7']"
Allocation11,,18,,r2,,"['r2_at4_notify_3', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation11,,19,,r1,,"['r1_at2_floor_4', 'r1_at4_notify_6', 'r1_at2_floor_7', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at4_notify_0', 'r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_11']"
Allocation11,,19,,r2,,"['r2_at4_notify_3', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation12,,0,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_4', 'r1_at2_floor_10', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at2_floor_7']"
Allocation12,,0,,r2,,"['r2_at4_notify_0', 'r2_at3_sanit_2', 'r2_at4_notify_6', 'r2_at4_notify_3', 'r2_at2_floor_1']"
Allocation12,,1,,r1,,"['r1_at2_floor_7', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_11']"
Allocation12,,1,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation12,,2,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at2_floor_7', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at3_sanit_8']"
Allocation12,,2,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_6', 'r2_at4_notify_0', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation12,,3,,r1,,"['r1_at3_sanit_8', 'r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at2_floor_4', 'r1_at3_sanit_5']"
Allocation12,,3,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at4_notify_6', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation12,,4,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at2_floor_4', 'r1_at3_sanit_8', 'r1_at3_sanit_5', 'r1_at2_floor_7']"
Allocation12,,4,,r2,,"['r2_at4_notify_0', 'r2_at4_notify_6', 'r2_at4_notify_3', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation12,,5,,r1,,"['r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at2_floor_7', 'r1_at3_sanit_8']"
Allocation12,,5,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation12,,6,,r1,,"['r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at2_floor_7', 'r1_at3_sanit_5']"
Allocation12,,6,,r2,,"['r2_at4_notify_0', 'r2_at4_notify_3', 'r2_at2_floor_1', 'r2_at4_notify_6', 'r2_at3_sanit_2']"
Allocation12,,7,,r1,,"['r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at2_floor_7']"
Allocation12,,7,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation12,,8,,r1,,"['r1_at2_floor_4', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at2_floor_7', 'r1_at3_sanit_5', 'r1_at3_sanit_8']"
Allocation12,,8,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at4_notify_6', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation12,,9,,r1,,"['r1_at4_notify_9', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at2_floor_10', 'r1_at3_sanit_8']"
Allocation12,,9,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_6', 'r2_at4_notify_0', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation12,,10,,r1,,"['r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at2_floor_10', 'r1_at3_sanit_8']"
Allocation12,,10,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at4_notify_6', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation12,,11,,r1,,"['r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at3_sanit_8']"
Allocation12,,11,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2', 'r2_at4_notify_6']"
Allocation12,,12,,r1,,"['r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at3_sanit_8', 'r1_at2_floor_7', 'r1_at2_floor_4', 'r1_at3_sanit_5']"
